guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:47156,Sorex trowbridgii montereyensis,47156,Seth B. Benson,California,Santa Cruz County,"Covey's Cottage, 1 mi W Ben Lomond",Seth B. Benson 1057,1931-02-22,"skin, study; skull",male,37.09114,-122.1030256,457,107,45,14,9,,,mm,mm,mm,mm,,,,
MVZ:Mamm:223097,Sorex trowbridgii mariposae,223097,"Ilona Lunenburg, Larry Saslaw",California,Tulare County,Case Mountain,134,2003-05-29,skeleton (postcranial); skull; tissue (frozen),female,36.412731,-118.802821,2478,99,46,13,6,,4.1,mm,mm,mm,mm,,g,,
MVZ:Mamm:223098,Sorex trowbridgii mariposae,223098,"Ilona Lunenburg, Larry Saslaw",California,Tulare County,Case Mountain,135,2003-05-29,skeleton (postcranial); skull; tissue (frozen),unknown,36.412731,-118.802821,2478,101,48,14,6,,4.4,mm,mm,mm,mm,,g,,
MVZ:Mamm:178036,Sorex trowbridgii humboldtensis,178036,Martin G. Raphael,California,Humboldt County,"Six Rivers National Forest, Oak Knobbed, 6.4 km S, 2.1 km W Salyer",Martin G. Raphael 495,1982-12-01,skull,unknown,40.83347,-123.55856,3536,108,48,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:71192,Sorex trowbridgii montereyensis,71192,"Leo K. Wilson, J. W. Griffith",California,Alameda County,"Claremont Heights, Berkeley",1164,1928-03-18,"skin, study; skull",male,37.8580596,-122.2442547,2414,93.7,44.1,12.2,6,,,mm,mm,mm,mm,,,,
MVZ:Mamm:34685,Sorex trowbridgii mariposae,34685,Adrey E. Borell,California,Tehama County,2 mi W Black Butte,Adrey E. Borell 891,1924-07-01,"skin, study; skull",male,40.4147,-121.5319,832,116,50,8,4,,5,mm,mm,mm,mm,,g,,
MVZ:Mamm:178258,Sorex trowbridgii trowbridgii,178258,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Beans Ridge, 12 km N, 5.6 km W Somes Bar",Martin G. Raphael 1020,1983-03-03,skull,male,41.48966,-123.55674,597,108,44,12,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:191531,Sorex trowbridgii montereyensis,191531,"James L. Patton, Gary M. Fellers",California,Marin County,"Bear Valley Trail, 0.8 km S Divide Meadow, 3.3 km SSW Olema, Point Reyes National Seashore",James L. Patton 17312,1998-05-21,skeleton; tissue (frozen),female,38.0133789,-122.8001209,1548,,,,,,,,,,,,,,
MVZ:Mamm:95865,Sorex trowbridgii trowbridgii,95865,Alden H. Miller,Oregon,Columbia County,7 mi SE Rainier,Alden H. Miller 3761,1941-05-31,"skin, study; skull",male,46.0084949,-122.8741356,3714,123,52,8,12,,,mm,mm,mm,mm,,,,
MVZ:Mamm:128537,Sorex trowbridgii montereyensis,128537,,California,Marin County,"2 mi S McClure Beach, Tomales Peninsula",12,1956-11-18,"skin, study; skull",unknown,38.1585798,-122.945,3745,120,53,14,6,,5.7,mm,mm,mm,mm,,g,,
MVZ:Mamm:221742,Sorex trowbridgii mariposae,221742,"Kevin C. Rowe, Sara B. Weinstein",California,Placer County,"2.2 km S, 0.5 km W of Blue Canyon Airport",335,2008-06-12,DNA (frozen); skull; tissue (frozen); whole organism (ethanol),female,39.25473,-120.71323,178,111,44,9,9,,6.6,mm,mm,mm,mm,,g,,
MVZ:Mamm:208878,Sorex trowbridgii mariposae,208878,James L. Patton,California,Shasta County,"Trapsite F-2, Lassen Volcanic National Park",James L. Patton 21852,2004-08-03,"skeleton; skull; tissue (ethanol, 95%)",male,40.5451771,-121.5674756,312,110,54,14,8,,4.1,mm,mm,mm,mm,,g,,
MVZ:Mamm:177388,Sorex trowbridgii montereyensis,177388,David O. Ribble,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",David O. Ribble 819,1988-01-10,"skin, study; skull",male,36.37618496,-121.5484028,27,99,47.5,14.5,8,,5,mm,mm,mm,mm,,g,t = 6x3 mm,
MVZ:Mamm:191495,Sorex trowbridgii montereyensis,191495,"James L. Patton, Gary M. Fellers",California,Marin County,"Bear Valley Trail, 0.8 km S Divide Meadow, 3.3 km SSW Olema, Point Reyes National Seashore",James L. Patton 17041,1998-06-17,skeleton; tissue (frozen),female,38.0133789,-122.8001209,1548,,,,,,,,,,,,,,
MVZ:Mamm:191491,Sorex trowbridgii montereyensis,191491,"James L. Patton, Gary M. Fellers",California,Marin County,"Bear Valley Trail, 0.8 km S Divide Meadow, 3.3 km SSW Olema, Point Reyes National Seashore",James L. Patton 17037,1998-06-17,skeleton; tissue (frozen),female,38.0133789,-122.8001209,1548,,,,,,,,,,,,,,
MVZ:Mamm:177418,Sorex trowbridgii montereyensis,177418,David O. Ribble,California,Monterey County,"Finch Creek, Hastings Natural History Reservation",David O. Ribble 1020,1989-11-04,"skin, study; skull",male,36.37266,-121.56168,901,104,47,14,8,,5,mm,mm,mm,mm,,g,T = 3 mm,
MVZ:Mamm:177349,Sorex trowbridgii montereyensis,177349,David O. Ribble,California,Monterey County,"0.9 mi E Hastings Gate, Hastings Natural History Reservation",David O. Ribble 728,1986-07-27,skeleton; skull,male,36.37612984,-121.5460963,75,102,51,14,8,,5,mm,mm,mm,mm,,g,,
MVZ:Mamm:148439,Sorex trowbridgii mariposae,148439,William Z. Lidicker Jr.,California,Siskiyou County,0.6 mi W Klamath River,William Z. Lidicker Jr. 3413,1975-03-26,whole organism (ethanol),female,41.8548259,-122.8319858,509,115,45,12.5,6,,7.8,mm,mm,mm,mm,,g,5 embryos: 15 mm,
