guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:143397,Sorex vagrans vagrans,143397,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 841,1972-03-14,"skin, study; skull",male,49.1167,-122.75,3666,104,42,12,8,3,5.3,mm,mm,mm,mm,mm,g,testes: 4 x 5 mm,
MVZ:Mamm:143391,Sorex vagrans vagrans,143391,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 835,1972-03-14,"skin, study; skull",male,49.1167,-122.75,3666,97,41,13,8,3,5.1,mm,mm,mm,mm,mm,g,testes: 3 x 5 mm,
MVZ:Mamm:142717,Sorex vagrans vagrans,142717,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1916,1972-10-10,"skin, study; skull",female,49.0833,-123.0833,4149,113,47,13,7,3,4.6,mm,mm,mm,mm,mm,g,ut. lg.,molting
MVZ:Mamm:23648,Sorex vagrans vagrans,23648,Stanley G. Jewett,Oregon,Multnomah County,"Westmoreland Addition, Portland",Stanley G. Jewett 598,1915-12-06,"skin, study; skull",unknown,45.4764,-122.6458,1622,98,44,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:142630,Sorex vagrans vagrans,142630,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1654,1972-08-15,"skin, study; skull",female,49.0833,-123.0833,4149,111,45,13,8,3,4.8,mm,mm,mm,mm,mm,g,"lact. heavily, ut. small",
MVZ:Mamm:183424,Sorex vagrans halicoetes,183424,Robert L. Rudd,California,Contra Costa County,San Pablo Marsh,Robert L. Rudd 1843,1952-04-25,"skin, study; skull",male,37.9745281,-122.3765387,1661,108,39,13,7,,4.3,mm,mm,mm,mm,,g,"testes 1.5 mm, better developed than one would suspect, est age: 4-4.5 weeks",
MVZ:Mamm:89398,Sorex vagrans paludivagus,89398,Frank N. Bassett,California,San Francisco County,San Francisco,,1929-03-06,"skin, study; skull",female,37.757094,-122.447744,6581,106,48,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:3630,Sorex vagrans halicoetes,3630,Joseph Scattergood Dixon,California,Alameda County,Elmhurst,Joseph Scattergood Dixon 204,1908-04-01,"skin, study; skull",female,37.7424,-122.16165,3270,109,41,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:219769,Sorex vagrans vagrans,219769,"Rika DeVore, Ashley N. Lipps, Christopher J. Conroy",California,Tehama County,Battle Creek Meadows,239,2007-07-13,"skin, study; skull; tissue (frozen)",unknown,40.33926,-121.60819,7,104,46,13,8,,4.2,mm,mm,mm,mm,,g,,
MVZ:Mamm:230739,Sorex vagrans vagrans,230739,James L. Patton,California,Mono County,0.4 mi NW Benton Crossing,James L. Patton 26301,2014-05-02,"DNA (frozen); skin, study; skull; tissue (ethanol)",female,37.70205,-118.76654,4,98,41,13,6,,6.8,mm,mm,mm,mm,,g,post lactating,
MVZ:Mamm:3629,Sorex vagrans halicoetes,3629,Joseph Scattergood Dixon,California,Alameda County,Elmhurst,Joseph Scattergood Dixon 202,1908-04-01,"skin, study; skull",female,37.7424,-122.16165,3270,100,40,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:142716,Sorex vagrans vagrans,142716,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1915,1972-10-10,"skin, study; skull",male,49.0833,-123.0833,4149,104,45,13,8,4,4,mm,mm,mm,mm,mm,g,testes 1x1.5 mm,molting
MVZ:Mamm:142619,Sorex vagrans vagrans,142619,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1643,1972-08-15,"skin, study; skull",male,49.0833,-123.0833,4149,97,41,12,8,3,3.5,mm,mm,mm,mm,mm,g,testes 1x1.5 mm,
MVZ:Mamm:142620,Sorex vagrans vagrans,142620,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1644,1972-08-15,"skin, study; skull",male,49.0833,-123.0833,4149,97,42,12,7,3,3.4,mm,mm,mm,mm,mm,g,testes 1x1 mm,
MVZ:Mamm:119429,Sorex vagrans vagrans,119429,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",,1954-06-10,skull,female,39.44433,-120.18423,4748,115,42,12,,,8.1,mm,mm,mm,,,g,,
MVZ:Mamm:119430,Sorex vagrans vagrans,119430,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",,1954-06-10,skull,female,39.44433,-120.18423,4748,111,43,12,,,6.9,mm,mm,mm,,,g,,
MVZ:Mamm:142621,Sorex vagrans vagrans,142621,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1645,1972-08-15,"skin, study; skull",male,49.0833,-123.0833,4149,102,44,12.5,8,3,3.5,mm,mm,mm,mm,mm,g,testes 1x1.5 mm,
MVZ:Mamm:142613,Sorex vagrans vagrans,142613,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1637,1972-08-15,"skin, study; skull",male,49.0833,-123.0833,4149,96,42,12,8,4,3.3,mm,mm,mm,mm,mm,g,testes 1.5 x 1.5 mm,
MVZ:Mamm:142715,Sorex vagrans vagrans,142715,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1914,1972-10-10,"skin, study; skull",female,49.0833,-123.0833,4149,101,40,11,7,3,4.1,mm,mm,mm,mm,mm,g,ut. med.,molting
MVZ:Mamm:113019,Sorex vagrans vagrans,113019,Keith F. Murray,California,Humboldt County,"Big Lagoon, Humboldt County",Keith F. Murray 647,1949-08-12,"skin, study; skull",female,41.1604001,-124.1323646,988,100,39,13,8,5,5.2,mm,mm,mm,mm,mm,g,4 embs 1 mm,
MVZ:Mamm:142614,Sorex vagrans vagrans,142614,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1638,1972-08-15,"skin, study; skull",female,49.0833,-123.0833,4149,99,42,12,8,3,3.4,mm,mm,mm,mm,mm,g,ut. tiny,
MVZ:Mamm:3628,Sorex vagrans halicoetes,3628,Joseph Scattergood Dixon,California,Alameda County,Elmhurst,Joseph Scattergood Dixon 201,1908-04-01,"skin, study; skull",female,37.7424,-122.16165,3270,109,41,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:143671,Sorex vagrans vagrans,143671,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 950,1972-04-12,"skin, study; skull",male,49.0833,-123.0833,4149,101,41,12,8,3,5.1,mm,mm,mm,mm,mm,g,testes 4x5 mm,"molting nape, throat, belly, tail base"
MVZ:Mamm:143244,Sorex vagrans vagrans,143244,Myrnal L. Hawes,British Columbia,,"McNeil Rd., Pitt Meadows",Myrnal L. Hawes 1225,1972-06-19,"skin, study; skull",male,49.2333,-122.6833,2860,103,42,12,8,3,4,mm,mm,mm,mm,mm,g,Testes: 2 x 2.5 mm,
MVZ:Mamm:230738,Sorex vagrans vagrans,230738,James L. Patton,California,Inyo County,"Buckhorn Spring, Deep Springs Valley",James L. Patton 26287,2014-04-24,"DNA (frozen); skin, study; skull; tissue (ethanol)",female,37.26212,-118.03799,9,98,40,12,6,,4.9,mm,mm,mm,mm,,g,uteri enlarged,
MVZ:Mamm:142706,Sorex vagrans vagrans,142706,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1855,1972-09-26,"skin, study; skull",male,49.0833,-123.0833,4149,108,43,12.5,7,3,5,mm,mm,mm,mm,mm,g,testes 3x4.5 mm,
MVZ:Mamm:77887,Sorex vagrans vagrans,77887,William B. Davis,Idaho,Franklin County,"Strawberry Creek, 20 mi NE Preston",William B. Davis 2561,1937-07-15,"skin, study; skull",female,42.3013,-111.6007,14322,104,40,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:12543,Sorex vagrans vancouverensis,12543,Annie M. Alexander,British Columbia,,"Alberni Valley, Vancouver Island, Vancouver Island, Vancouver Island",Annie M. Alexander 876,1910-06-15,"skin, study; skull",female,49.25,-124.8,26356,115,41,11,,,,mm,mm,mm,,,,,
MVZ:Mamm:142700,Sorex vagrans vagrans,142700,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1849,1972-09-26,"skin, study; skull",male,49.0833,-123.0833,4149,97,40,12,8,4,3.7,mm,mm,mm,mm,mm,g,testes 1x1 mm,molting
MVZ:Mamm:142702,Sorex vagrans vagrans,142702,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1851,1972-09-26,"skin, study; skull",male,49.0833,-123.0833,4149,104,39,13,8,4,4.8,mm,mm,mm,mm,mm,g,testes 3x5 mm,
MVZ:Mamm:142616,Sorex vagrans vagrans,142616,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1640,1972-08-15,"skin, study; skull",female,49.0833,-123.0833,4149,109,43,13,7,3,4.6,mm,mm,mm,mm,mm,g,lact. heavily,
MVZ:Mamm:142629,Sorex vagrans vagrans,142629,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1653,1972-08-15,"skin, study; skull",female,49.0833,-123.0833,4149,99,42,12,7,3,3.2,mm,mm,mm,mm,mm,g,ut. small,
MVZ:Mamm:142458,Sorex vagrans vagrans,142458,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 952,1972-04-12,"skin, study; skull",female,49.0833,-123.0833,4149,107,42,12,8,3,6.5,mm,mm,mm,mm,mm,g,lactating heavily,
MVZ:Mamm:142455,Sorex vagrans vagrans,142455,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 946,1972-04-12,"skin, study; skull",female,49.0833,-123.0833,4149,106,45,12,8,3,5.9,mm,mm,mm,mm,mm,g,preg 4 rt 3 left c-r = 8 mm,
MVZ:Mamm:118677,Sorex vagrans vagrans,118677,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",Robert S. Hoffmann 5I #-7,1953-09-13,skull,unknown,39.44433,-120.18423,4748,,,,,,,,,,,,,,
MVZ:Mamm:142459,Sorex vagrans vagrans,142459,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 957,1972-04-12,"skin, study; skull",female,49.0833,-123.0833,4149,,,,,,,,,,,,,"preg 2 rt, 4 lf, lactating heavily (emb 1mm)",
MVZ:Mamm:81046,Sorex vagrans vagrans,81046,Morris M. Green,British Columbia,,Peardonville,Morris M. Green 2798,1929-07-07,"skin, study; skull",female,49.0167,-122.4,2219,101,41,12.5,,,,mm,mm,mm,,,,,
MVZ:Mamm:118534,Sorex vagrans vagrans,118534,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi NW Hobart Mills",Robert S. Hoffmann 7III-18,1953-07-25,skull,male,39.438,-120.2111667,,107,41,12,8,,4.4,mm,mm,mm,mm,,g,,
MVZ:Mamm:143274,Sorex vagrans vagrans,143274,Myrnal L. Hawes,British Columbia,,"Steveston Hwy. and Deas Fwy., Richmond, Lulu Island, Vancouver Island, Lulu Island",Myrnal L. Hawes 964,1972-02-02,"skin, study; skull",male,49.1667,-123.1167,5436,108,41,13,8,4,4.8,mm,mm,mm,mm,mm,g,Testes: 3.5 x 5 mm,
MVZ:Mamm:142454,Sorex vagrans vagrans,142454,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 945,1972-04-12,"skin, study; skull",female,49.0833,-123.0833,4149,106,42,12,7,3,5.8,mm,mm,mm,mm,mm,g,preg 1 rt 2 lf c-r = 14 mm,
MVZ:Mamm:118676,Sorex vagrans vagrans,118676,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",Robert S. Hoffmann 5I #-4,1953-09-13,skull,female,39.44433,-120.18423,4748,96,36,11,8,,4.4,mm,mm,mm,mm,,g,,
MVZ:Mamm:218828,Sorex vagrans vagrans,218828,"John O. Matson, Allison L. Ivancovich",California,Lassen County,"Blue Lake Campground, Modoc National Forest",7171,2005-08-19,"carcass (ethanol); skull; tissue (ethanol, 95%)",male,41.1410166667,-120.2794166667,32,,,,,,,,,,,,,,
MVZ:Mamm:143630,Sorex vagrans vagrans,143630,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1935,1972-10-12,"skin, study; skull",female,49.1167,-122.75,3666,103,45,12,8,4,4.4,mm,mm,mm,mm,mm,g,uterus tiny,
MVZ:Mamm:119444,Sorex vagrans vagrans,119444,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",,1954-06-18,skull,male,39.44433,-120.18423,4748,108,40,12,,,8,mm,mm,mm,,,g,,
MVZ:Mamm:142570,Sorex vagrans vagrans,142570,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1438,1972-07-19,"skin, study; skull",male,49.0833,-123.0833,4149,97,41,12,8,3,3.4,mm,mm,mm,mm,mm,g,testes 1x1 mm,
MVZ:Mamm:142568,Sorex vagrans vagrans,142568,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1436,1972-07-19,"skin, study; skull",female,49.0833,-123.0833,4149,101,43,12,7,4,3.5,mm,mm,mm,mm,mm,g,ut. tiny,
MVZ:Mamm:118531,Sorex vagrans vagrans,118531,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi NW Hobart Mills",Robert S. Hoffmann 7III-14,1953-07-25,skull,male,39.438,-120.2111667,,106,41,12,9,,,mm,mm,mm,mm,,,,
MVZ:Mamm:118882,Sorex vagrans vagrans,118882,Stuart O. Landry,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",Stuart O. Landry 309,1953-11-29,"skin, study; skull",female,39.44433,-120.18423,4748,108,45,14,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:142579,Sorex vagrans vagrans,142579,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1447,1972-07-19,"skin, study; skull",female,49.0833,-123.0833,4149,109,43,12,8,4,5.1,mm,mm,mm,mm,mm,g,ut. enl. + veined. preg? molting,
MVZ:Mamm:142809,Sorex vagrans vagrans,142809,"Myrnal L. Hawes, James Donald Anderson",British Columbia,,"Delta, Westham Island, Westham Island",11307,1971-10-19,"skin, study; skull",male,49.0833,-123.0833,4149,95,46,12,8,5,4.2,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:142574,Sorex vagrans vagrans,142574,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1442,1972-07-19,"skin, study; skull",female,49.0833,-123.0833,4149,101,43,12,8,3,3.4,mm,mm,mm,mm,mm,g,ut. small,
MVZ:Mamm:143633,Sorex vagrans vagrans,143633,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1938,1972-10-12,"skin, study; skull",female,49.1167,-122.75,3666,103,46,12.5,7,3,4.4,mm,mm,mm,mm,mm,g,uterus tiny,
MVZ:Mamm:142571,Sorex vagrans vagrans,142571,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1439,1972-07-19,"skin, study; skull",male,49.0833,-123.0833,4149,104,46,12,8,3,3.9,mm,mm,mm,mm,mm,g,testes 1.5 x 1.5 mm,
MVZ:Mamm:142569,Sorex vagrans vagrans,142569,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1437,1972-07-19,"skin, study; skull",female,49.0833,-123.0833,4149,101,46,12,7,3,3.5,mm,mm,mm,mm,mm,g,ut. small,
MVZ:Mamm:33655,Sorex vagrans vagrans,33655,Joseph Scattergood Dixon,California,Plumas County,Hot Spring Valley,Joseph Scattergood Dixon 8145,1923-09-06,"skin, study; skull",male,40.44423,-121.3938,430,105,40,8,4,,3.3,mm,mm,mm,mm,,g,,
MVZ:Mamm:94050,Sorex vagrans vagrans,94050,Ward C. Russell,Washington,Pacific County,4 mi NW Chinook,Ward C. Russell 7529,1940-08-10,"skin, study; skull",female,46.314049877,-124.00325259,4202,100,41,13,7,,5,mm,mm,mm,mm,,g,,
MVZ:Mamm:34714,Sorex vagrans vagrans,34714,Richard M. Hunt,California,Plumas County,Willow Lake,Richard M. Hunt 2311,1924-07-25,"skin, study; skull",unknown,40.4027,-121.3524,237,103,38,12,3,,3.4,mm,mm,mm,mm,,g,,
MVZ:Mamm:143635,Sorex vagrans vagrans,143635,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1940,1972-10-12,"skin, study; skull",male,49.1167,-122.75,3666,93,38,11.5,6,2,2.9,mm,mm,mm,mm,mm,g,Testes: 1 x 1 mm,
MVZ:Mamm:220427,Sorex vagrans vagrans,220427,"Carla E. Ebeling, John D. Perrine",California,Shasta County,"Emerald Lake, Lassen Volcanic National Park",266,2007-09-07,skull; tissue (frozen); whole organism (ethanol),female,40.46888,-121.51827,,108,44,13,9,,3.5,mm,mm,mm,mm,,g,,
MVZ:Mamm:142495,Sorex vagrans vagrans,142495,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1181,1972-06-06,"skin, study; skull",female,49.0833,-123.0833,4149,100,40,12,7.5,3,4.2,mm,mm,mm,mm,mm,g,"preg 1 rt 2 lf, tiny emb",
MVZ:Mamm:142746,Sorex vagrans vagrans,142746,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1981,1972-11-07,"skin, study; skull",male,49.0833,-123.0833,4149,98,43,12,7,3,3.4,mm,mm,mm,mm,mm,g,testes 1x1 mm,
MVZ:Mamm:81061,Sorex vagrans vagrans,81061,"Morris M. Green, A. Walker",Oregon,Douglas County,Gardiner,745,1927-06-12,"skin, study; skull",male,43.7303,-124.1092,336,101,41,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:119445,Sorex vagrans vagrans,119445,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi N Hobart Mills",,1954-06-18,skull,female,39.44433,-120.18423,4748,117,43,12,,,11,mm,mm,mm,,,g,,
MVZ:Mamm:98919,Sorex vagrans vagrans,98919,"Seth B. Benson, George G. Permut",Washington,Whitman County,"Union Flat Creek, W of Pullman",8204,1941-02-22,skeleton; skull,male,46.8272,-117.9967,60524,100,38,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:12504,Sorex vagrans vancouverensis,12504,Annie M. Alexander,British Columbia,,"Alberni Valley, Vancouver Island, Vancouver Island, Vancouver Island",Annie M. Alexander 115,1910-06-06,"skin, study; skull",female,49.25,-124.8,26356,102,45,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:196667,Sorex vagrans vagrans,196667,James L. Patton,California,Tehama County,"Trapsite R-1, Lassen Volcanic National Park",James L. Patton 18091,2000-10-03,"DNA; skeleton; tissue (ethanol, 95%)",female,40.4322209,-121.5330702,312,,,,,,,,,,,,,,
MVZ:Mamm:10844,Sorex vagrans halicoetes,10844,Joseph Scattergood Dixon,California,San Mateo County,Redwood City,Joseph Scattergood Dixon 276,1908-12-19,"skin, study; skull",male,37.484841,-122.227132,4828,103,40,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:83347,Sorex vagrans vancouverensis,83347,David H. Johnson,Washington,Skagit County,Strawberry Bay,David H. Johnson 3403,1938-07-03,"skin, study; skull",female,48.5631,-122.7206,496,110,42,13,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:12503,Sorex vagrans vancouverensis,12503,Annie M. Alexander,British Columbia,,"Alberni Valley, Vancouver Island, Vancouver Island, Vancouver Island",Annie M. Alexander 114,1910-06-06,"skin, study; skull",female,49.25,-124.8,26356,97,43,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:113472,Sorex vagrans paludivagus,113472,,California,San Mateo County,Princeton,312,1949-07-24,"skin, study; skull",unknown,37.504684,-122.485175,402,101,38,13,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:143419,Sorex vagrans vagrans,143419,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 931,1972-04-12,"skin, study; skull",female,49.1167,-122.75,3666,115,45,13,9,4,7.3,mm,mm,mm,mm,mm,g,"preg. 3 rt, 4 lf, tiny emb. lactating heavily",
MVZ:Mamm:83351,Sorex vagrans vancouverensis,83351,David H. Johnson,Washington,Skagit County,Strawberry Bay,David H. Johnson 3416,1938-07-03,skeleton; skull,female,48.5631,-122.7206,496,,,,,,,,,,,,,,
MVZ:Mamm:98918,Sorex vagrans vagrans,98918,"Seth B. Benson, George G. Permut",Washington,Whitman County,"Union Flat Creek, W of Pullman",8199,1941-02-22,skeleton; skull,male,46.8272,-117.9967,60524,107,42,13,7,3,,mm,mm,mm,mm,mm,,,
MVZ:Mamm:143688,Sorex vagrans vagrans,143688,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1923,1972-04-12,"skin, study; skull",male,49.1167,-122.75,3666,108,43,12,9,4,6.9,mm,mm,mm,mm,mm,g,Testes: 4 x 5 mm,
MVZ:Mamm:115536,Sorex vagrans halicoetes,115536,Robert L. Rudd,California,Santa Clara County,"1.75 mi NE Alviso, junction of Garbage Dump Rd. and railroad tracks",Robert L. Rudd 20,1951-12-28,skull,male,37.442807,-121.949837,183,,,,,,,,,,,,,,
MVZ:Mamm:115528,Sorex vagrans halicoetes,115528,Robert L. Rudd,California,Santa Clara County,"1.75 mi NE Alviso, junction of Garbage Dump Rd. and railroad tracks",Robert L. Rudd 12,1951-12-28,skull,female,37.442807,-121.949837,183,,,,,,,,,,,,,,
MVZ:Mamm:101796,Sorex vagrans vagrans,101796,,California,Marin County,"Pierce Ranch, Tomales Point",137,1945-03-18,"skin, study; skull",male,38.2072445,-122.963888,2272,102,44,12,9,3,4.8,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:191633,Sorex vagrans vagrans,191633,"James L. Patton, Gary M. Fellers",California,Marin County,"0.2 km NW Abbot's Lagoon Parking Area 7.8 km NW Inverness, Point Reyes National Seashore",James L. Patton 17263,1998-06-30,skeleton; tissue (frozen),female,38.1616437,-122.948389,1276,,,,,,,,,,,,,,
MVZ:Mamm:115532,Sorex vagrans halicoetes,115532,Robert L. Rudd,California,Santa Clara County,"1.75 mi NE Alviso, junction of Garbage Dump Rd. and railroad tracks",Robert L. Rudd 16,1951-12-28,skull,male,37.442807,-121.949837,183,,,,,,,,,,,,,,
MVZ:Mamm:115526,Sorex vagrans halicoetes,115526,Robert L. Rudd,California,Santa Clara County,"1.75 mi NE Alviso, junction of Garbage Dump Rd. and railroad tracks",Robert L. Rudd 10,1951-12-28,skull,male,37.442807,-121.949837,183,,,,,,,,,,,,,,
MVZ:Mamm:115539,Sorex vagrans halicoetes,115539,Robert L. Rudd,California,Santa Clara County,"1.75 mi NE Alviso, junction of Garbage Dump Rd. and railroad tracks",Robert L. Rudd 23,1951-12-28,skull,male,37.442807,-121.949837,183,,,,,,,,,,,,,,
MVZ:Mamm:23647,Sorex vagrans vagrans,23647,Stanley G. Jewett,Oregon,Multnomah County,"Westmoreland Addition, Portland",Stanley G. Jewett 589,1915-12-03,"skin, study; skull",male,45.4764,-122.6458,1622,98,44,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:185063,,185063,,California,Mono County,"Big Alkali Lake, Long Valley, Egpt, Sand Dunes",,1981-04-22,whole organism (ethanol),male,37.675488,-118.782497,671,,,,,,,,,,,,,,
MVZ:Mamm:63471,Sorex vagrans vagrans,63471,John E. Hill,Oregon,Coos County,"Delmar, 9 mi S Marshfield",John E. Hill 646,1933-06-10,skeleton; skull,female,43.2606,-124.2261,14,110,41,13,8,,,mm,mm,mm,mm,,,,
MVZ:Mamm:126282,Sorex vagrans vagrans,126282,Alan C. Ziegler,Washington,Pierce County,1.5 mi NW Spanaway,Alan C. Ziegler 1888,1960-06-22,"skin, study; skull",female,47.119553963,-122.45578701,5903,89,40,12,9,,4.4,mm,mm,mm,mm,,g,no emb,
MVZ:Mamm:142368,Sorex vagrans vagrans,142368,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Ladner",Myrnal L. Hawes 492,1971-08-03,"skin, study; skull",unknown,49.0917,-123.0778,4632,97,45,12,7,4,3.45,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:101794,Sorex vagrans vagrans,101794,Seth B. Benson,California,Marin County,"Pierce Ranch, Tomales Point",Seth B. Benson 8874,1945-03-18,"skin, study; skull",male,38.2072445,-122.963888,2272,106,38,12,8,3,7.9,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:83349,Sorex vagrans vancouverensis,83349,David H. Johnson,Washington,Skagit County,Strawberry Bay,David H. Johnson 3405,1938-07-03,skull,male,48.5631,-122.7206,496,,,,,,,,,,,,,,
MVZ:Mamm:81072,Sorex vagrans vagrans,81072,Morris M. Green,Oregon,Wallowa County,Wallowa Lake,Morris M. Green 217,1935-08-26,"skin, study; skull",male,45.335,-117.2208,5646,99,40,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:142422,Sorex vagrans vagrans,142422,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 774,1972-02-15,"skin, study; skull",male,49.0833,-123.0833,4149,102,41,12,8,3,4.9,mm,mm,mm,mm,mm,g,testes 4x5 mm,
MVZ:Mamm:142424,Sorex vagrans vagrans,142424,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 776,1972-02-15,"skin, study; skull",female,49.0833,-123.0833,4149,98,40,13,8,4,4.6,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:95881,Sorex vagrans vagrans,95881,Ward C. Russell,Oregon,Columbia County,7 mi SE Rainier,Ward C. Russell 8099,1941-05-27,"skin, study; skull",female,46.0084949,-122.8741356,3714,112,44,12,7,,6.2,mm,mm,mm,mm,,g,,
MVZ:Mamm:94094,Sorex vagrans vagrans,94094,Ward C. Russell,Oregon,Clatsop County,Old Fort Clatsop,Ward C. Russell 7618,1940-08-20,"skin, study; skull",female,46.1339,-123.8761,13,101,40,13,7,,5.3,mm,mm,mm,mm,,g,,
MVZ:Mamm:142375,Sorex vagrans vagrans,142375,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Ladner",Myrnal L. Hawes 547,1971-10-27,"skin, study; skull",unknown,49.0917,-123.0778,4632,88,43,12,7,3,3.7,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:142369,Sorex vagrans vagrans,142369,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Ladner",Myrnal L. Hawes 493,1971-08-03,"skin, study; skull",unknown,49.0917,-123.0778,4632,95,43,12,7,4,3.4,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:217720,Sorex vagrans vagrans,217720,"Christopher J. Conroy, Rika DeVore",California,Lassen County,"1 mi S, 1 mi E Christie Campground, Eagle Lake",1932,2006-06-20,"skin, study; skull; tissue (frozen)",female,40.55524,-120.82179,500,100,40,11,9,,3.7,mm,mm,mm,mm,,g,nulliparous,
