guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:143300,Sorex vagrans vagrans,143300,Myrnal L. Hawes,British Columbia,,"Steveston Hwy. and Deas Fwy., Richmond, Lulu Island, Vancouver Island, Lulu Island",Myrnal L. Hawes 1765,1972-03-26,"skin, study; skull",male,49.1667,-123.1167,5436,104,41,12,7,3,6,mm,mm,mm,mm,mm,g,Testes: 3.5 x 5 mm,
MVZ:Mamm:230737,Sorex vagrans vagrans,230737,James L. Patton,California,Inyo County,"Buckhorn Spring, Deep Springs Valley",James L. Patton 26285,2014-04-23,DNA (frozen); skeleton; skull; tissue (ethanol),male,37.26212,-118.03799,9,,39,13,7,,5.5,,mm,mm,mm,,g,t=4x3 mm,
MVZ:Mamm:34712,Sorex vagrans vagrans,34712,Richard M. Hunt,California,Plumas County,Willow Lake,Richard M. Hunt 2304,1924-07-24,"skin, study; skull",unknown,40.4027,-121.3524,237,102,41,13,4,,4.5,mm,mm,mm,mm,,g,im.?,
MVZ:Mamm:113011,Sorex vagrans vagrans,113011,Oliver P. Pearson,California,Humboldt County,Big Lagoon,Oliver P. Pearson 1624,1949-08-09,"skin, study; skull",male,41.1604001,-124.1323646,988,105,45,12,7,,5.3,mm,mm,mm,mm,,g,testes 1 mm,
MVZ:Mamm:19592,Sorex vagrans vagrans,19592,Charles L. Camp,California,Marin County,3 mi W Inverness,Charles L. Camp 698,1913-06-08,"skin, study; whole organism (ethanol)",female,38.1010747,-122.9111073,5283,102,41,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:19587,Sorex vagrans vagrans,19587,Charles L. Camp,California,Marin County,3 mi W Inverness,Charles L. Camp 671,1913-06-01,"skin, study",male,38.1010747,-122.9111073,5283,102,41,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:220489,Sorex vagrans vagrans,220489,"Carla E. Ebeling, James L. Patton",California,Lassen County,Bailey Creek,316,2007-09-15,"skin, study; skull; tissue (ethanol, 95%)",female,40.8135,-120.60123,6,111,52,13,9,,4,mm,mm,mm,mm,,g,,
MVZ:Mamm:13787,Sorex vagrans vagrans,13787,Louise Kellogg,California,Siskiyou County,South Fork Salmon River,Louise Kellogg 1630,1911-07-13,"skin, study; skull",male,41.1389881,-123.1413374,8100,94,37,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:142325,Sorex vagrans vagrans,142325,Myrnal L. Hawes,British Columbia,,Boundary Bay,Myrnal L. Hawes 784,1972-02-16,"skin, study; skull",female,49,-123.0333,2622,95,41,12,8,3,3.8,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:123604,Sorex vagrans vagrans,123604,A. P. Hendrickson,California,Modoc County,"Lily Lake, 8 mi E Pine Creek",A. P. Hendrickson 725,1957-08-08,"skin, study; skull",male,41.9768849,-120.2089227,208,93,36,13,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:239647,Sorex vagrans vagrans,239647,James L. Patton,California,Mono County,"Blind Spring Pond, bottom of Blind Spring Valley, 2 mi due W Benton",James L. Patton 28723,2019-04-24,"skin, study; skull; tissue (ethanol, 95%; RNAlater)",female,37.817152,-118.5145,305,93,38,14,7,,5.8,mm,mm,mm,mm,,g,post lact,
MVZ:Mamm:143656,Sorex vagrans vagrans,143656,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1751,1972-04-05,"skin, study; skull",female,49.0833,-123.0833,4149,113,46,13,9,3,6,mm,mm,mm,mm,mm,g,Lactating,
MVZ:Mamm:142327,Sorex vagrans vagrans,142327,Myrnal L. Hawes,British Columbia,,Boundary Bay,Myrnal L. Hawes 786,1972-02-16,"skin, study; skull",male,49,-123.0333,2622,103,40,13,7,3,4.9,mm,mm,mm,mm,mm,g,testes 3.5x5 mm,
MVZ:Mamm:12531,Sorex vagrans vancouverensis,12531,Annie M. Alexander,British Columbia,,"Alberni Valley, Vancouver Island, Vancouver Island, Vancouver Island",Annie M. Alexander 830,1910-06-12,"skin, study; skull",male,49.25,-124.8,26356,105,40,12,,,,mm,mm,mm,,,,,
MVZ:Mamm:112878,Sorex vagrans vagrans,112878,Oliver P. Pearson,California,Marin County,0.25 mi NE Forbes,Oliver P. Pearson 1477,1949-03-14,"skin, study; skull",female,,,,99,39,13,9,,4.7,mm,mm,mm,mm,,g,no emb.,
MVZ:Mamm:142515,Sorex vagrans vagrans,142515,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1259,1972-06-21,"skin, study; skull",male,49.0833,-123.0833,4149,91,36,12,8,3,3.5,mm,mm,mm,mm,mm,g,testes 1x1 mm,
MVZ:Mamm:143289,Sorex vagrans vagrans,143289,Myrnal L. Hawes,British Columbia,,"Steveston Hwy. and Deas Fwy., Richmond, Lulu Island, Vancouver Island, Lulu Island",Myrnal L. Hawes 863,1972-03-17,"skin, study; skull",male,49.1667,-123.1167,5436,106,43,13,9,4,6.4,mm,mm,mm,mm,mm,g,Testes: 4 x 6 mm,
MVZ:Mamm:143291,Sorex vagrans vagrans,143291,Myrnal L. Hawes,British Columbia,,"Steveston Hwy. and Deas Fwy., Richmond, Lulu Island, Vancouver Island, Lulu Island",Myrnal L. Hawes 865,1972-03-17,"skin, study; skull",male,49.1667,-123.1167,5436,107,45,13.5,8,3,5.4,mm,mm,mm,mm,mm,g,Testes: 4 x 6 mm,
MVZ:Mamm:169044,,169044,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 370,1982-01-09,skeleton,male,36.740111,-121.803876,322,103,38,11,7,,5.5,mm,mm,mm,mm,,g,t = 6x3,
MVZ:Mamm:118641,Sorex vagrans vagrans,118641,Robert S. Hoffmann,California,Nevada County,"Sagehen Creek, 3 mi NW Hobart Mills",Robert S. Hoffmann 5II#-20,1953-09-11,skull,female,39.438,-120.2111667,,115,41,11,8,,6.5,mm,mm,mm,mm,,g,,
MVZ:Mamm:107729,Sorex vagrans vagrans,107729,"Oliver P. Pearson, Anita K. Pearson",California,Mendocino County,Point Arena,1068,1947-10-12,"skin, study; skull",female,38.9112,-123.7017,2348,106,44,13,7,,5.5,mm,mm,mm,mm,,g,no emb,
MVZ:Mamm:142427,Sorex vagrans vagrans,142427,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 824,1972-02-29,"skin, study; skull",male,49.0833,-123.0833,4149,96,40,13,8,3,5.5,mm,mm,mm,mm,mm,g,testes 4x5 mm,
MVZ:Mamm:169037,,169037,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 14,1982-01-09,skeleton,male,36.740111,-121.803876,322,103,38,11,7,,4.6,mm,mm,mm,mm,,g,t = 5x3,
MVZ:Mamm:169055,,169055,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 421,1982-01-09,skeleton,male,36.740111,-121.803876,322,95,34,11,7,,5.5,mm,mm,mm,mm,,g,t = 5x3,
MVZ:Mamm:142350,Sorex vagrans vagrans,142350,Myrnal L. Hawes,British Columbia,,Boundary Bay,Myrnal L. Hawes 677,1971-12-21,"skin, study; skull",female,49,-123.0333,2622,103,45,14,8,5,3.9,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:114980,Sorex vagrans halicoetes,114980,Robert L. Rudd,California,Santa Clara County,"Los Esteros Rd., 0.5 mi NE Alviso, salt marsh",Robert L. Rudd 1480,1950-10-22,"skin, study; skull",female,37.431,-121.96,305,109,37,13,7,,,mm,mm,mm,mm,,,,
MVZ:Mamm:143115,Sorex vagrans vagrans,143115,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1934,1972-10-18,"skin, study; skull",female,49.0833,-123.0833,4149,104,44,12,7,3,4.8,mm,mm,mm,mm,mm,g,Uterus tiny; molting,
MVZ:Mamm:143112,Sorex vagrans vagrans,143112,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1929,1972-10-18,"skin, study; skull",female,49.0833,-123.0833,4149,102,42,13,7,3,4.1,mm,mm,mm,mm,mm,g,Uterus small; molting,
MVZ:Mamm:143108,Sorex vagrans vagrans,143108,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1925,1972-10-18,"skin, study; skull",female,49.0833,-123.0833,4149,103,44,12,7,3,4,mm,mm,mm,mm,mm,g,Uterus small,
